,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,poum,0,MK,1546915664,60,41.28,20.71,-9.25,2.01
1,cape town,0,ZA,1546912800,72,-33.93,18.42,64.4,19.46
2,sitka,0,US,1546915664,35,37.17,-99.65,43.81,9.28
3,puerto ayora,0,EC,1546915664,100,-0.74,-90.35,75.58,9.17
4,codrington,40,AU,1546912800,61,-28.95,153.24,82.4,8.05
5,ovalle,0,CL,1546915481,92,-30.6,-71.2,55.78,1.9
6,yar-sale,8,RU,1546915665,79,66.83,70.83,-12.76,11.63
7,rikitea,76,PF,1546915665,94,-23.12,-134.97,80.8,12.3
8,cabo san lucas,20,MX,1546911960,88,22.89,-109.91,69.8,4.7
9,jamestown,0,AU,1546915666,52,-33.21,138.6,78.06,10.63
10,hilo,20,US,1546912380,59,19.71,-155.08,75.92,9.17
11,vao,92,EE,1546915667,98,59.1,26.19,31.35,6.26
12,port-cartier,5,CA,1546912800,64,50.03,-66.88,-4.01,4.7
13,tamale,0,GH,1546915667,33,9.4,-0.84,70.68,10.63
14,aljezur,0,PT,1546915668,100,37.31,-8.8,49.21,4.81
15,ushuaia,90,AR,1546912800,87,-54.81,-68.31,42.8,5.82
16,ixtapa,40,MX,1546912020,83,20.71,-105.21,77.0,5.82
17,biak,88,ID,1546915669,96,-0.91,122.88,80.8,1.79
18,carnarvon,48,ZA,1546915669,29,-30.97,22.13,67.03,8.72
19,mar del plata,0,AR,1546915669,52,-46.43,-67.52,54.21,24.83
20,lagoa,0,PT,1546912800,81,37.14,-8.45,42.8,3.36
21,college,20,US,1546912680,68,64.86,-147.8,-35.51,3.02
22,hermanus,76,ZA,1546915670,96,-34.42,19.24,58.03,3.36
23,atuona,92,PF,1546915671,99,-9.8,-139.03,81.66,14.65
24,yellowknife,75,CA,1546912800,67,62.45,-114.38,-22.01,5.82
25,amarante do maranhao,92,BR,1546915671,83,-5.57,-46.74,74.1,2.91
26,sambava,56,MG,1546915671,100,-14.27,50.17,79.77,2.35
27,butaritari,32,KI,1546915672,100,3.07,172.79,81.93,7.38
28,hobart,75,AU,1546912800,49,-42.88,147.33,71.6,13.87
29,kapaa,1,US,1546912560,64,22.08,-159.32,78.98,12.75
30,hasaki,75,JP,1546914600,39,35.73,140.83,46.4,2.24
31,busselton,24,AU,1546915673,84,-33.64,115.35,72.57,15.1
32,hithadhoo,56,MV,1546915673,100,-0.6,73.08,83.05,11.97
33,husavik,0,CA,1546915673,82,50.56,-96.99,21.99,17.34
34,beloha,0,MG,1546915674,91,-25.17,45.06,69.1,4.03
35,marihatag,12,PH,1546915674,99,8.8,126.3,81.61,14.88
36,kilindoni,8,TZ,1546915674,100,-7.91,39.67,83.41,15.66
37,kavaratti,0,IN,1546915674,100,10.57,72.64,81.39,7.27
38,juneau,90,US,1546913880,80,58.3,-134.42,19.4,5.82
39,vaini,0,IN,1546912800,67,15.34,74.49,60.8,3.36
40,key west,1,US,1546914900,79,47.93,-96.78,30.02,20.8
41,kaitangata,0,NZ,1546915676,58,-46.28,169.85,66.63,14.76
42,thompson,90,CA,1546912800,85,55.74,-97.86,14.0,11.41
43,pevek,0,RU,1546915677,76,69.7,170.27,-17.39,5.37
44,punta arenas,75,CL,1546912800,75,-53.16,-70.91,46.4,9.17
45,nanyang,76,CN,1546915636,64,33.0,112.53,38.68,5.59
46,pacific grove,1,US,1546914000,83,36.62,-121.92,57.2,6.93
47,komsomolskiy,32,RU,1546915678,62,67.55,63.78,-13.79,8.16
48,strezhevoy,0,RU,1546914600,77,60.73,77.6,-0.41,4.47
49,kodiak,1,US,1546914900,52,39.95,-94.76,43.88,8.05
50,faanui,76,PF,1546915679,100,-16.48,-151.75,83.28,7.16
51,grand gaube,75,MU,1546912800,78,-20.01,57.66,80.6,14.99
52,vestmannaeyjar,8,IS,1546915680,100,63.44,-20.27,33.87,3.58
53,curuguaty,92,PY,1546915680,99,-24.47,-55.69,73.6,2.01
54,amurzet,0,CN,1546915680,64,47.69,131.09,3.76,10.96
55,neiafu,75,TO,1546912800,89,-18.65,-173.98,84.2,11.41
56,qaanaaq,0,GL,1546915681,100,77.48,-69.36,-12.4,11.52
57,ancud,20,CL,1546912800,81,-41.87,-73.83,46.4,5.82
58,tasiilaq,88,GL,1546912200,58,65.61,-37.64,24.8,20.8
59,new norfolk,75,AU,1546914600,49,-42.78,147.06,71.6,17.22
60,bluff,88,AU,1546915682,54,-23.58,149.07,84.54,14.88
61,nuevo progreso,90,US,1546913700,67,26.05,-97.95,75.02,5.82
62,sokoto,0,NG,1546915683,37,13.06,5.24,59.43,12.53
63,ibra,0,OM,1546915683,96,22.69,58.55,49.35,2.13
64,tabuk,0,PH,1546915683,58,17.41,121.44,76.3,2.46
65,trincomalee,68,LK,1546915684,87,8.58,81.23,77.7,6.38
66,mataura,0,NZ,1546915684,55,-46.19,168.86,68.61,14.54
67,albany,90,US,1546913760,41,42.65,-73.75,24.08,8.05
68,concordia,0,AR,1546915440,94,-31.4,-58.02,66.27,3.13
69,severo-kurilsk,64,RU,1546915685,100,50.68,156.12,28.2,25.17
70,talnakh,56,RU,1546915685,72,69.49,88.39,2.91,7.27
71,moose factory,90,CA,1546912800,85,51.26,-80.61,15.8,16.11
72,yumen,36,CN,1546915686,80,40.29,97.04,0.39,6.6
73,galle,1,US,1546914900,86,29.74,-97.91,67.64,5.82
74,vagur,64,FO,1546915686,100,61.47,-6.81,42.96,26.06
75,kimbe,80,PG,1546915686,100,-5.56,150.15,79.77,9.28
76,nanortalik,88,GL,1546915687,88,60.14,-45.24,34.41,23.04
77,misratah,76,LY,1546915687,100,32.38,15.09,53.8,7.38
78,saskylakh,20,RU,1546915687,73,71.97,114.09,-37.24,10.4
79,bredasdorp,20,ZA,1546912800,72,-34.53,20.04,66.2,4.7
80,ilulissat,68,GL,1546912200,72,69.22,-51.1,15.8,8.05
81,khatanga,44,RU,1546915688,72,71.98,102.47,-16.67,11.86
82,torbay,90,CA,1546912800,79,47.66,-52.73,23.0,24.16
83,aksarka,32,RU,1546915689,32,66.56,67.8,-21.89,2.91
84,preobrazheniye,0,RU,1546915689,49,42.9,133.91,11.55,4.03
85,tuktoyaktuk,75,CA,1546913820,75,69.44,-133.03,-20.21,5.82
86,chokurdakh,64,RU,1546915690,46,70.62,147.9,-28.64,3.02
87,sibut,100,CF,1546915690,65,5.73,19.09,75.72,3.02
88,avarua,40,CK,1546912800,58,-21.21,-159.78,82.4,6.93
89,lorengau,36,PG,1546915691,93,-2.02,147.27,85.53,14.65
90,port hedland,0,AU,1546914600,50,-20.31,118.58,96.8,11.41
91,nikolskoye,75,RU,1546914600,100,59.7,30.79,28.4,4.47
92,saint-philippe,90,CA,1546914900,59,45.36,-73.48,14.0,5.82
93,baruun-urt,0,MN,1546915692,54,46.68,113.28,-2.32,13.2
94,porto velho,75,BR,1546912800,88,-8.75,-63.87,77.0,10.29
95,alta floresta,92,BR,1546915693,100,-9.87,-56.08,70.05,1.57
96,aripuana,88,BR,1546915693,95,-9.17,-60.63,76.08,2.01
97,wewak,68,PG,1546915693,71,-3.55,143.63,85.48,5.26
98,brownwood,1,US,1546913700,75,31.71,-98.99,55.4,3.36
99,waingapu,36,ID,1546915694,83,-9.65,120.26,84.27,3.91
100,hofn,0,IS,1546915694,100,64.25,-15.21,35.04,3.69
101,norman wells,75,CA,1546912800,66,65.28,-126.83,-31.01,2.8
102,pumiao,90,CN,1546912800,93,22.75,108.49,51.8,4.47
103,laguna,75,MX,1546911780,77,27.52,-110.01,64.4,4.7
104,uarini,64,BR,1546915695,92,-2.98,-65.16,77.79,4.59
105,umarkot,0,PK,1546915696,81,25.37,69.74,45.88,2.91
106,dikson,64,RU,1546915696,100,73.51,80.55,-4.57,15.32
